user_id,Date,channels,activity_conversion,number_of_displayed_ads,new_user,converted_user,time_following_user_sec
9.24E+17,01/08/09,"[582346.0, 679756.0, 419277.0]",0,34,0,0,814
2586384456,01/08/09,[582346.0],0,6,0,1,22
5.76E+17,01/08/09,"[597650.0, 349956.0]",0,37,0,0,231
2.45E+18,01/08/09,[701790.0],0,9,0,0,24
5.76E+17,01/08/09,[674114.0],0,3,0,0,238
5.76E+17,01/08/09,"[472808.0, 679756.0]",0,4,0,0,0
1848397922,01/08/09,[419277.0],0,1,0,0,0
1993901888,01/08/09,"[408048.0, 701791.0]",0,21,0,1,3504
2610196548,01/08/09,[263648.0],0,15,0,0,329
2.46E+18,01/08/09,[674114.0],0,2,0,0,32
5.76E+17,01/08/09,[679756.0],0,1,0,0,0
2.47E+18,01/08/09,[674114.0],0,1,1,0,0
8.97E+17,01/08/09,"[408048.0, 597650.0, 431027.0]",0,29,0,0,494
2.31E+18,01/08/09,"[679756.0, 674710.0]",0,9,0,0,244
9.01E+17,01/08/09,[349956.0],0,2,1,0,226
5.76E+17,01/08/09,[109000.0],0,11,0,0,1063
2.46E+18,01/08/09,[408048.0],0,7,0,0,143
700248386,01/08/09,[408048.0],0,4,0,0,507
2.31E+18,01/08/09,[679756.0],0,1,0,0,0
5.76E+17,01/08/09,[408048.0],0,50,1,0,344
1617046344,01/08/09,[674114.0],0,1,0,0,0
5.76E+17,01/08/09,[674114.0],0,1,1,0,0
1904696644,01/08/09,"[419277.0, 674710.0]",0,15,0,1,1089
5.76E+17,01/08/09,"[472808.0, 349956.0]",0,3,0,0,124
9.23E+17,01/08/09,[679756.0],0,1,1,0,0
2.50E+18,01/08/09,"[674114.0, 679756.0]",0,2,0,0,0
5.76E+17,01/08/09,[419277.0],0,12,0,0,396
9.25E+17,01/08/09,[679756.0],0,1,0,0,0
5.76E+17,01/08/09,"[679756.0, 674710.0]",0,3,0,0,170
4150807111,01/08/09,[419277.0],0,41,0,0,345
2.31E+18,01/08/09,[679756.0],0,3,0,0,2849
9.03E+17,01/08/09,"[349956.0, 419277.0]",0,6,1,0,149
3955306823,01/08/09,[472808.0],0,4,0,0,22
5.76E+17,01/08/09,[674710.0],0,3,0,0,1
1142732865,01/08/09,[121541.0],0,4,0,1,67
